Title,Artist,Year,Genre,FavSong,URL,CoverFile,Country,CountryName,Tags,Comment,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric
Illmatic,Nas,1994,Boom Bap,N.Y. State of Mind,https://www.youtube.com/watch?v=izhKFB0_2w0,cover_nas_illmatic.jpeg,US,USA,Dark and Grimy,,0,0,0,2,1,0,0,,"Inhale deep like the words of my breath / I never sleep, 'cause sleep is the cousin of death"
The Black Saint and the Sinner Lady,Charles Mingus,1963,Avant-Garde Jazz,Trio and Group Dancers,https://www.youtube.com/watch?v=jOaCrz43Sjk,cover_minugs_saint.jpeg,US,USA,Eclectic Masterpiece,,,,,,,,,,
Biomech,Ocean Machine,1997,Progressive Metal,Bastard,https://www.youtube.com/watch?v=H6UIm4JAoM8,cover_ocean_biomech.jpeg,CA,Canada,Eclectic Masterpiece,,2,1,0,0,0,3,4,,"Now the rain it comes, the rain it blurs the grey line / The grey line, the Greyhound home"
⊿ (Triangle),Perfume,2008,Electropop,Dream Fighter,https://www.youtube.com/watch?v=rBX5YGPNDbs,cover_perfume_triangle.jpeg,JP,Japan,Jump for Joy,,0,0,3,0,2,1,0,,
Low,David Bowie,1977,"Art Rock, Ambient",Warszawa,https://www.youtube.com/watch?v=V_6IhsQEBX0,coveer_bowie_low.jpeg,GB,United Kingdom,"Eclectic Masterpiece, World Is Cold and Lonely",,3,0,2,0,0,2,1,,
Magdalene,FKA Twigs,2019,Art Pop,Cellophane,https://www.youtube.com/watch?v=YkLjqFpBh84,cover_fka_magdalene.jpeg,GB,United Kingdom,Deep and Moving,,5,0,0,0,0,0,5,,"I try, but I get overwhelmed / All wrapped in cellophane, the feelings that we had"
...And Again Into the Light,Panopticon,2021,Atmospheric Black Metal,Dead Loons,https://www.youtube.com/watch?v=3SGscxQfmc4,cover_panopticon_light.jpeg,US,USA,"Truth to Power, Scream Into the Void",,3,3,0,2,0,0,3,,
Time,Electric Light Orchestra,1981,Pop Rock,Twilight,https://www.youtube.com/watch?v=yDN68LxWW-8,cover_elo_time.jpeg,GB,United Kingdom,Pure Awesome,,1,0,3,0,1,1,3,,
98.12.28 Otokotachi no wakare,Fishmans,1999,"Dream Pop, Neo-Psychedelia",Long Season ,https://www.youtube.com/watch?v=e6xJozKOPYw,cover_fishmans_98.jpeg,JP,Japan,"Floating Into Bliss, Live",,,,,,,,,,
To See the Next Part of the Dream,Parannoul,2021,"Shoegaze, Emo",White Ceiling,https://www.youtube.com/watch?v=g1x1NtWGw5s,cover_parannoul_dream.jpeg,KR,South Korea,Scream Into the Void,,3,1,1,0,0,5,3,,
